image_key,rating,std,prompt
glide/p04,2.08,1.351542328847553,p04
glide/p05,2.1923076923076925,1.1320505560876961,p05
glide/p06,1.52,1.0049875621120887,p06
glide/p07,1.76,1.2342339054382412,p07
glide/p08,2.76,1.3625955623979797,p08
glide/p09,2.32,1.345362404707371,p09
glide/p10,1.48,1.0456258094238746,p10
glide/p11,1.3333333333333333,1.0072203103706696,p11
glide/p12,1.92,1.1518101695447331,p12
glide/p13,1.92,1.1518101695447331,p13
glide/p14,1.76,0.9695359714832659,p14
glide/p15,2.6,1.190238071423808,p15
glide/p16,2.6,1.1902380714238086,p16
glide/p17,1.52,1.0049875621120887,p17
glide/p18,1.72,1.0614455552060438,p18
glide/p19,2.04,1.2069244660154448,p19
glide/p20,2.28,1.173314393786536,p20
glide/p21,1.92,1.1150485789118487,p21
glide/p22,1.4,0.9128709291752769,p22
glide/p23,2.64,1.2206555615733703,p23
glide/p24,2.6,1.2909944487358054,p24
glide/p25,2.44,1.0033277962194942,p25
glide/p26,1.8,1.118033988749895,p26
glide/p27,1.44,1.003327796219494,p27
midjourney/p01,3.68,1.1075498483890767,p01
midjourney/p02,2.72,1.2754084313139327,p02
midjourney/p03,3.28,1.173314393786536,p03
midjourney/p04,3.08,1.0770329614269007,p04
midjourney/p05,3.48,1.0456258094238748,p05
midjourney/p06,3.08,1.255653880122491,p06
midjourney/p07,3.52,1.2288205727444508,p07
midjourney/p08,3.44,1.2609520212918492,p08
midjourney/p09,3.2083333333333335,1.2503622663458174,p09
midjourney/p10,3.4,1.118033988749895,p10
midjourney/p11,2.56,1.3564659966250536,p11
midjourney/p12,3.88,1.0132456102380443,p12
midjourney/p13,2.92,1.3203534880225571,p13
midjourney/p14,2.92,1.4410644214144859,p14
midjourney/p15,3.64,1.3808210118138653,p15
midjourney/p16,4.4,0.9574271077563383,p16
midjourney/p17,3.76,1.16476034731041,p17
midjourney/p18,2.6,1.2909944487358058,p18
midjourney/p19,3.16,1.312757911167681,p19
midjourney/p20,3.64,1.1503622617824931,p20
midjourney/p21,2.88,1.332916601542147,p21
midjourney/p22,4.36,0.9073771725877466,p22
midjourney/p23,3.64,1.1135528725660042,p23
midjourney/p24,4.16,0.9433981132056605,p24
midjourney/p25,3.64,1.2543258481484518,p25
midjourney/p26,3.12,1.332916601542147,p26
midjourney/p27,2.84,1.34412301024373,p27
own/p17,3.24,1.3625955623979797,p17
own/p18,2.76,1.267543556122103,p18
own/p19,3.32,1.1803954139750517,p19
own/p20,3.64,1.186029791643813,p20
own/p21,3.64,1.1503622617824931,p21
own/p22,2.96,1.206924466015445,p22
own/p23,3.16,1.2806248474865698,p23
own/p24,4.16,0.8981462390204987,p24
own/p25,3.8,1.2909944487358054,p25
own/p26,3.04,0.9780933834080806,p26
own/p27,2.56,1.2935738607954836,p27
stable_diffusion/p01,3.0,1.2247448713915892,p01
stable_diffusion/p02,3.52,1.1590225767142472,p02
stable_diffusion/p03,2.28,1.1372481406154655,p03
stable_diffusion/p04,2.84,1.2476644848141933,p04
stable_diffusion/p05,3.32,1.1075498483890767,p05
stable_diffusion/p06,2.64,1.4399074044303448,p06
stable_diffusion/p07,2.64,1.3503086067019396,p07
