model,metric,img_id,quality_score
dall-e,NIQE,p11.png,4.64889392408014
dall-e,NIQE,p12.png,2.4645376512186834
dall-e,NIQE,p13.png,5.413945646576624
dall-e,NIQE,p14.png,3.309311979969768
dall-e,NIQE,p15.png,4.241893176158995
dall-e,NIQE,p16.png,3.1452399993021523
dall-e,NIQE,p17.png,3.3669327314143964
dall-e,NIQE,p18.png,5.053308716000528
dall-e,NIQE,p19.png,4.4614036620503725
dall-e,NIQE,p20.png,6.997206168640449
dall-e,NIQE,p21.png,8.308665036446863
dall-e,NIQE,p22.png,4.572110789497722
dall-e,NIQE,p23.png,4.93194078771379
dall-e,NIQE,p24.png,3.0978119117469993
dall-e,NIQE,p25.png,3.07244212381539
dall-e,NIQE,p26.png,3.622014404589053
dall-e,NIQE,p27.png,3.2710933210138475
glide,BRISQUE,p01.png,44.4071044921875
glide,BRISQUE,p02.png,27.42169189453125
glide,BRISQUE,p03.png,23.57244873046875
glide,BRISQUE,p04.png,44.244384765625
glide,BRISQUE,p05.png,34.81536865234375
glide,BRISQUE,p06.png,14.0758056640625
glide,BRISQUE,p07.png,13.55999755859375
glide,BRISQUE,p08.png,36.42864990234375
glide,BRISQUE,p09.png,31.5428466796875
glide,BRISQUE,p10.png,39.38433837890625
glide,BRISQUE,p11.png,91.66204833984375
glide,BRISQUE,p12.png,34.67669677734375
glide,BRISQUE,p13.png,52.8309326171875
glide,BRISQUE,p14.png,27.5106201171875
glide,BRISQUE,p15.png,44.33465576171875
glide,BRISQUE,p16.png,5.09698486328125
glide,BRISQUE,p17.png,43.397216796875
glide,BRISQUE,p18.png,27.6134033203125
glide,BRISQUE,p19.png,31.316162109375
glide,BRISQUE,p20.png,39.8377685546875
glide,BRISQUE,p21.png,28.05181884765625
glide,BRISQUE,p22.png,84.3731689453125
glide,BRISQUE,p23.png,46.15020751953125
glide,BRISQUE,p24.png,32.2088623046875
glide,BRISQUE,p25.png,48.4649658203125
glide,BRISQUE,p26.png,12.5770263671875
glide,BRISQUE,p27.png,32.83319091796875
dall-e,BRISQUE,p01.png,12.3388671875
dall-e,BRISQUE,p02.png,-3.310302734375
dall-e,BRISQUE,p03.png,-16.94775390625
dall-e,BRISQUE,p04.png,-0.8167724609375
dall-e,BRISQUE,p05.png,-9.77301025390625
dall-e,BRISQUE,p06.png,24.76287841796875
dall-e,BRISQUE,p07.png,3.88592529296875
dall-e,BRISQUE,p08.png,8.17431640625
dall-e,BRISQUE,p09.png,1.24127197265625
dall-e,BRISQUE,p10.png,3.1612548828125
dall-e,BRISQUE,p11.png,14.7646484375
dall-e,BRISQUE,p12.png,5.46783447265625
dall-e,BRISQUE,p13.png,8.2215576171875
dall-e,BRISQUE,p14.png,6.661865234375
dall-e,BRISQUE,p15.png,-7.84771728515625
dall-e,BRISQUE,p16.png,4.578369140625
dall-e,BRISQUE,p17.png,-4.940185546875
dall-e,BRISQUE,p18.png,14.13262939453125
dall-e,BRISQUE,p19.png,-0.592041015625
dall-e,BRISQUE,p20.png,3.1385498046875
dall-e,BRISQUE,p21.png,20.08221435546875
dall-e,BRISQUE,p22.png,0.06427001953125
dall-e,BRISQUE,p23.png,17.05401611328125
dall-e,BRISQUE,p24.png,-11.2347412109375
dall-e,BRISQUE,p25.png,-2.0106201171875
dall-e,BRISQUE,p26.png,4.9002685546875
dall-e,BRISQUE,p27.png,-8.1038818359375
midjourney,BRISQUE,p01.png,16.3638916015625
midjourney,BRISQUE,p02.png,18.31500244140625
midjourney,BRISQUE,p03.png,20.66796875
midjourney,BRISQUE,p04.png,13.67474365234375
midjourney,BRISQUE,p05.png,31.0946044921875
midjourney,BRISQUE,p06.png,34.41680908203125
midjourney,BRISQUE,p07.png,28.03460693359375
midjourney,BRISQUE,p08.png,30.22149658203125
midjourney,BRISQUE,p09.png,30.95794677734375
midjourney,BRISQUE,p10.png,9.89508056640625
midjourney,BRISQUE,p11.png,5.9737548828125
midjourney,BRISQUE,p12.png,11.20489501953125
midjourney,BRISQUE,p13.png,3.25537109375
midjourney,BRISQUE,p14.png,17.62982177734375
midjourney,BRISQUE,p15.png,21.2515869140625
midjourney,BRISQUE,p16.png,20.52435302734375
midjourney,BRISQUE,p17.png,60.21502685546875
midjourney,BRISQUE,p18.png,29.15057373046875
midjourney,BRISQUE,p19.png,22.61505126953125
midjourney,BRISQUE,p20.png,20.6805419921875
midjourney,BRISQUE,p21.png,12.39276123046875
midjourney,BRISQUE,p22.png,27.41180419921875
midjourney,BRISQUE,p23.png,6.8548583984375
midjourney,BRISQUE,p24.png,14.39263916015625
midjourney,BRISQUE,p25.png,5.58367919921875
midjourney,BRISQUE,p26.png,16.50335693359375
midjourney,BRISQUE,p27.png,16.19012451171875
own,BRISQUE,p17.png,43.57257080078125
own,BRISQUE,p18.png,40.70196533203125
own,BRISQUE,p19.png,21.3641357421875
own,BRISQUE,p20.png,25.99542236328125
own,BRISQUE,p21.png,47.248291015625
own,BRISQUE,p22.png,26.95062255859375
own,BRISQUE,p23.png,27.21868896484375
own,BRISQUE,p24.png,4.76397705078125
own,BRISQUE,p25.png,35.24725341796875
own,BRISQUE,p26.png,4.65545654296875
own,BRISQUE,p27.png,40.82647705078125
craiyon,BRISQUE,p01.png,25.36785888671875
craiyon,BRISQUE,p02.png,8.8106689453125
craiyon,BRISQUE,p03.png,24.447265625
craiyon,BRISQUE,p04.png,44.50042724609375
craiyon,BRISQUE,p05.png,29.0262451171875
craiyon,BRISQUE,p06.png,17.5435791015625
craiyon,BRISQUE,p07.png,12.48382568359375
craiyon,BRISQUE,p08.png,32.09735107421875
craiyon,BRISQUE,p09.png,35.33502197265625
craiyon,BRISQUE,p10.png,45.1881103515625
craiyon,BRISQUE,p11.png,70.2015380859375
craiyon,BRISQUE,p12.png,14.57147216796875
craiyon,BRISQUE,p13.png,53.822265625
craiyon,BRISQUE,p14.png,18.2484130859375
craiyon,BRISQUE,p15.png,28.52734375
craiyon,BRISQUE,p16.png,20.07305908203125
craiyon,BRISQUE,p17.png,29.88714599609375
craiyon,BRISQUE,p18.png,29.70587158203125
craiyon,BRISQUE,p19.png,18.35223388671875
craiyon,BRISQUE,p20.png,16.431640625
craiyon,BRISQUE,p21.png,36.87335205078125
craiyon,BRISQUE,p22.png,3.319091796875
craiyon,BRISQUE,p23.png,17.40350341796875
craiyon,BRISQUE,p24.png,13.1663818359375
craiyon,BRISQUE,p25.png,83.05279541015625
craiyon,BRISQUE,p26.png,27.7606201171875
craiyon,BRISQUE,p27.png,36.99261474609375
stable_diffusion,BRISQUE,p01.png,34.61676025390625
stable_diffusion,BRISQUE,p02.png,-4.1123046875
stable_diffusion,BRISQUE,p03.png,-4.00665283203125
stable_diffusion,BRISQUE,p04.png,27.21942138671875
stable_diffusion,BRISQUE,p05.png,23.17437744140625
stable_diffusion,BRISQUE,p06.png,44.19464111328125
stable_diffusion,BRISQUE,p07.png,16.07958984375
stable_diffusion,BRISQUE,p08.png,-0.50982666015625
stable_diffusion,BRISQUE,p09.png,19.31414794921875
stable_diffusion,BRISQUE,p10.png,6.83087158203125
stable_diffusion,BRISQUE,p11.png,-3.874755859375
stable_diffusion,BRISQUE,p12.png,17.9561767578125
stable_diffusion,BRISQUE,p13.png,8.8419189453125
stable_diffusion,BRISQUE,p14.png,11.21197509765625
stable_diffusion,BRISQUE,p15.png,23.13250732421875
stable_diffusion,BRISQUE,p16.png,2.83563232421875
stable_diffusion,BRISQUE,p17.png,-10.9217529296875
stable_diffusion,BRISQUE,p18.png,22.02069091796875
stable_diffusion,BRISQUE,p19.png,4.4422607421875
stable_diffusion,BRISQUE,p20.png,7.9793701171875
stable_diffusion,BRISQUE,p21.png,13.67279052734375
stable_diffusion,BRISQUE,p22.png,12.6990966796875
stable_diffusion,BRISQUE,p23.png,10.12506103515625
stable_diffusion,BRISQUE,p24.png,5.93536376953125
stable_diffusion,BRISQUE,p25.png,14.1248779296875
stable_diffusion,BRISQUE,p26.png,49.064208984375
stable_diffusion,BRISQUE,p27.png,24.1468505859375
glide,MUSIQ,p01.png,67.67366790771484
